date_time,total_http,SELECT_http,INSERT_http,UPDATE_http,DELETE_http,total_http_out_rs,SELECT_http_out_rs,INSERT_http_out_rs,UPDATE_http_out_rs,DELETE_http_out_rs
1523213230.200000,0.041179,0.041179,0.000000,0.000000,0.000000,0.058542,0.058542,0.000000,0.000000,0.000000
1523213230.250000,0.039571,0.039571,0.000000,0.000000,0.000000,0.055477,0.055477,0.000000,0.000000,0.000000
1523213230.300000,0.037170,0.037170,0.000000,0.000000,0.000000,0.029838,0.029838,0.000000,0.000000,0.000000
1523213230.350000,0.025940,0.025940,0.000000,0.000000,0.000000,0.041943,0.041943,0.000000,0.000000,0.000000
1523213230.400000,0.027932,0.027932,0.000000,0.000000,0.000000,0.058209,0.058209,0.000000,0.000000,0.000000
1523213230.450000,0.028539,0.028539,0.000000,0.000000,0.000000,0.032600,0.032600,0.000000,0.000000,0.000000
1523213230.500000,0.057415,0.057415,0.000000,0.000000,0.000000,0.022912,0.022912,0.000000,0.000000,0.000000
1523213230.550000,0.036573,0.036573,0.000000,0.000000,0.000000,0.021925,0.021925,0.000000,0.000000,0.000000
1523213230.600000,0.055232,0.055232,0.000000,0.000000,0.000000,0.051671,0.051671,0.000000,0.000000,0.000000
1523213230.650000,0.040975,0.040975,0.000000,0.000000,0.000000,0.065130,0.065130,0.000000,0.000000,0.000000
1523213230.700000,0.031490,0.031490,0.000000,0.000000,0.000000,0.040598,0.040598,0.000000,0.000000,0.000000
1523213230.750000,0.016178,0.016178,0.000000,0.000000,0.000000,0.024130,0.024130,0.000000,0.000000,0.000000
1523213230.800000,0.042784,0.042784,0.000000,0.000000,0.000000,0.053202,0.053202,0.000000,0.000000,0.000000
1523213230.850000,0.053701,0.053701,0.000000,0.000000,0.000000,0.024556,0.024556,0.000000,0.000000,0.000000
1523213230.900000,0.026857,0.026857,0.000000,0.000000,0.000000,0.025130,0.025130,0.000000,0.000000,0.000000
1523213230.950000,0.037762,0.037762,0.000000,0.000000,0.000000,0.036038,0.036038,0.000000,0.000000,0.000000
1523213231.000000,0.034887,0.034887,0.000000,0.000000,0.000000,0.048228,0.048228,0.000000,0.000000,0.000000
1523213231.050000,0.026090,0.026090,0.000000,0.000000,0.000000,0.049596,0.049596,0.000000,0.000000,0.000000
1523213231.100000,0.028045,0.028045,0.000000,0.000000,0.000000,0.040200,0.040200,0.000000,0.000000,0.000000
1523213231.150000,0.016530,0.016530,0.000000,0.000000,0.000000,0.021931,0.021931,0.000000,0.000000,0.000000
1523213231.200000,0.022792,0.022792,0.000000,0.000000,0.000000,0.023041,0.023041,0.000000,0.000000,0.000000
1523213231.250000,0.018120,0.018120,0.000000,0.000000,0.000000,0.015037,0.015037,0.000000,0.000000,0.000000
1523213231.300000,0.066830,0.066830,0.000000,0.000000,0.000000,0.026875,0.026875,0.000000,0.000000,0.000000
1523213231.350000,0.061105,0.061105,0.000000,0.000000,0.000000,0.035043,0.035043,0.000000,0.000000,0.000000
1523213231.400000,0.040804,0.040804,0.000000,0.000000,0.000000,0.038449,0.038449,0.000000,0.000000,0.000000
1523213231.450000,0.017093,0.017093,0.000000,0.000000,0.000000,0.029400,0.029400,0.000000,0.000000,0.000000
1523213231.500000,0.020560,0.020560,0.000000,0.000000,0.000000,0.045185,0.045185,0.000000,0.000000,0.000000
